dataset,split_variant,model,training,checkpoint,eval_split,attack,n_seeds,mAP50,mAP50_std,mAP50-95,mAP50-95_std,precision,recall,selection_bias,source
NSLSR,leakage-safe (segment),nano,pgd_at,last,test,pgd20,3,0.4770,0.0059,0.2185,0.0005,0.6485,0.4992,,defense_matrix_results_test.csv
NSLSR,leakage-safe (segment),nano,pgd_at,last,test,snua_go_weak,3,0.7709,0.0025,0.4866,0.0011,0.8827,0.6855,,defense_matrix_results_test.csv
NSLSR,leakage-safe (segment),nano,pgd_at,last,test,snua_go_medium,3,0.6631,0.0044,0.3699,0.0104,0.8376,0.6043,,defense_matrix_results_test.csv
NSLSR,leakage-safe (segment),nano,pgd_at,last,test,aria_medium,3,0.9163,0.0010,0.6555,0.0011,0.9453,0.8477,,defense_matrix_results_test.csv
NSLSR,leakage-safe (segment),nano,pgd_at,last,test,combined_medium,3,0.6623,0.0075,0.3652,0.0072,0.8520,0.5984,,defense_matrix_results_test.csv
NSLSR,leakage-safe (segment),nano,pgd_at,last,test,snua_go_strong,3,0.2516,0.0219,0.0781,0.0063,0.4833,0.2864,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,pgd_at,last,test,aria_strong,3,0.9066,0.0010,0.6429,0.0030,0.9440,0.8315,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,pgd_at,last,test,combined_strong,3,0.2190,0.0277,0.0684,0.0115,0.3959,0.2851,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,pgd_at,last,test,random_fpn_medium,3,0.9273,0.0014,0.6706,0.0018,0.9434,0.8481,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,pgd_at,last,test,random_radiometric_medium,3,0.9194,0.0008,0.6639,0.0017,0.9468,0.8548,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,pgd_at,last,val,clean,1,0.5728,,0.3354,,0.6949,0.5486,,defense_matrix_results.csv
NSLSR,leakage-safe (segment),nano,pgd_at,last,val,pgd20,3,0.2212,0.0021,0.0859,0.0010,0.5977,0.2785,,defense_matrix_results.csv
NSLSR,leakage-safe (segment),nano,pgd_at,last,val,snua_go_weak,3,0.4090,0.0026,0.2044,0.0019,0.6869,0.3903,,defense_matrix_results.csv
NSLSR,leakage-safe (segment),nano,pgd_at,last,val,snua_go_medium,3,0.2938,0.0028,0.1338,0.0015,0.5538,0.3387,,defense_matrix_results.csv
NSLSR,leakage-safe (segment),nano,pgd_at,last,val,aria_medium,3,0.5700,0.0032,0.3289,0.0020,0.7018,0.5301,,defense_matrix_results.csv
