dataset,split_variant,model,training,checkpoint,eval_split,attack,n_seeds,mAP50,mAP50_std,mAP50-95,mAP50-95_std,precision,recall,selection_bias,source
RASMD,stratified (own),small,pgd_at,best,test,combined_strong,3,0.0213,0.0036,0.0079,0.0014,0.1164,0.0393,,all_evals_results.csv
RASMD,stratified (own),small,pgd_at,best,test,random_fpn_medium,3,0.4438,0.0063,0.2708,0.0018,0.5843,0.4156,,all_evals_results.csv
RASMD,stratified (own),small,pgd_at,best,test,random_radiometric_medium,3,0.7070,0.0028,0.4610,0.0004,0.7606,0.7024,,all_evals_results.csv
RASMD,stratified (own),small,pgd_at,last,test,clean,1,0.7252,,0.4658,,0.8047,0.6769,,all_evals_results.csv
RASMD,stratified (own),small,pgd_at,last,test,pgd20,3,0.1419,0.0025,0.0490,0.0004,0.6031,0.1567,,all_evals_results.csv
RASMD,stratified (own),small,pgd_at,last,test,snua_go_weak,3,0.2407,0.0035,0.1338,0.0004,0.4802,0.2550,,all_evals_results.csv
RASMD,stratified (own),small,pgd_at,last,test,snua_go_medium,3,0.1465,0.0016,0.0718,0.0015,0.4083,0.1679,,all_evals_results.csv
RASMD,stratified (own),small,pgd_at,last,test,aria_medium,3,0.7230,0.0008,0.4629,0.0002,0.7953,0.6805,,all_evals_results.csv
RASMD,stratified (own),small,pgd_at,last,test,combined_medium,3,0.1446,0.0021,0.0707,0.0011,0.4226,0.1645,,all_evals_results.csv
RASMD,stratified (own),small,pgd_at,last,test,snua_go_strong,3,0.0256,0.0003,0.0101,0.0001,0.1922,0.0434,,all_evals_results.csv
RASMD,stratified (own),small,pgd_at,last,test,aria_strong,3,0.7156,0.0017,0.4560,0.0009,0.7869,0.6769,,all_evals_results.csv
RASMD,stratified (own),small,pgd_at,last,test,combined_strong,3,0.0259,0.0018,0.0101,0.0008,0.2469,0.0421,,all_evals_results.csv
RASMD,stratified (own),small,pgd_at,last,test,random_fpn_medium,3,0.4401,0.0073,0.2765,0.0051,0.5813,0.4164,,all_evals_results.csv
RASMD,stratified (own),small,pgd_at,last,test,random_radiometric_medium,3,0.7240,0.0012,0.4650,0.0003,0.7956,0.6827,,all_evals_results.csv
RASMD,stratified (own),small,random_swir_aug,robust_best,test,clean,1,0.7716,,0.5051,,0.8357,0.7261,,all_evals_results.csv
RASMD,stratified (own),small,random_swir_aug,robust_best,test,pgd20,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,all_evals_results.csv
RASMD,stratified (own),small,random_swir_aug,robust_best,test,snua_go_weak,3,0.5596,0.0037,0.3079,0.0015,0.6156,0.6095,,all_evals_results.csv
RASMD,stratified (own),small,random_swir_aug,robust_best,test,snua_go_medium,3,0.3733,0.0026,0.1843,0.0052,0.4925,0.4011,,all_evals_results.csv
RASMD,stratified (own),small,random_swir_aug,robust_best,test,aria_medium,3,0.7630,0.0027,0.4990,0.0018,0.8309,0.7225,,all_evals_results.csv
RASMD,stratified (own),small,random_swir_aug,robust_best,test,combined_medium,3,0.3659,0.0060,0.1791,0.0045,0.4812,0.3978,,all_evals_results.csv
RASMD,stratified (own),small,random_swir_aug,robust_best,test,snua_go_strong,3,0.1305,0.0047,0.0497,0.0011,0.3303,0.1662,,all_evals_results.csv
RASMD,stratified (own),small,random_swir_aug,robust_best,test,aria_strong,3,0.7514,0.0030,0.4873,0.0023,0.8198,0.7154,,all_evals_results.csv
RASMD,stratified (own),small,random_swir_aug,robust_best,test,combined_strong,3,0.1205,0.0032,0.0447,0.0009,0.3358,0.1558,,all_evals_results.csv
RASMD,stratified (own),small,random_swir_aug,robust_best,test,random_fpn_medium,3,0.7539,0.0042,0.4930,0.0011,0.8203,0.7209,,all_evals_results.csv
RASMD,stratified (own),small,random_swir_aug,robust_best,test,random_radiometric_medium,3,0.7676,0.0022,0.5033,0.0017,0.8342,0.7239,,all_evals_results.csv
RASMD,stratified (own),small,snua_at,robust_best,test,clean,1,0.7573,,0.5025,,0.8636,0.7123,,all_evals_results.csv
RASMD,stratified (own),small,snua_at,robust_best,test,pgd20,3,0.0000,0.0000,0.0000,0.0000,0.1111,0.0000,,all_evals_results.csv
RASMD,stratified (own),small,snua_at,robust_best,test,snua_go_weak,3,0.7412,0.0003,0.4769,0.0004,0.8480,0.7075,,all_evals_results.csv
RASMD,stratified (own),small,snua_at,robust_best,test,snua_go_medium,3,0.7262,0.0012,0.4525,0.0003,0.8329,0.6940,,all_evals_results.csv
RASMD,stratified (own),small,snua_at,robust_best,test,aria_medium,3,0.7528,0.0008,0.4973,0.0011,0.8518,0.7155,,all_evals_results.csv
RASMD,stratified (own),small,snua_at,robust_best,test,combined_medium,3,0.7224,0.0009,0.4491,0.0004,0.8294,0.6952,,all_evals_results.csv
RASMD,stratified (own),small,snua_at,robust_best,test,snua_go_strong,3,0.6886,0.0050,0.4089,0.0011,0.7779,0.6696,,all_evals_results.csv
RASMD,stratified (own),small,snua_at,robust_best,test,aria_strong,3,0.7438,0.0012,0.4853,0.0008,0.8393,0.7071,,all_evals_results.csv
RASMD,stratified (own),small,snua_at,robust_best,test,combined_strong,3,0.6661,0.0021,0.3912,0.0042,0.7471,0.6589,,all_evals_results.csv
RASMD,stratified (own),small,snua_at,robust_best,test,random_fpn_medium,3,0.7564,0.0005,0.5014,0.0015,0.8585,0.7154,,all_evals_results.csv
RASMD,stratified (own),small,snua_at,robust_best,test,random_radiometric_medium,3,0.7558,0.0009,0.5019,0.0005,0.8397,0.7265,,all_evals_results.csv
RASMD,stratified (own),small,mixed_swir_at,robust_best,test,clean,1,0.7624,,0.4881,,0.8094,0.7281,,all_evals_results.csv
RASMD,stratified (own),small,mixed_swir_at,robust_best,test,pgd20,3,0.0000,0.0000,0.0000,0.0000,0.0556,0.0000,,all_evals_results.csv
RASMD,stratified (own),small,mixed_swir_at,robust_best,test,snua_go_weak,3,0.7412,0.0004,0.4637,0.0004,0.8078,0.7063,,all_evals_results.csv
RASMD,stratified (own),small,mixed_swir_at,robust_best,test,snua_go_medium,3,0.7157,0.0012,0.4370,0.0005,0.7884,0.6982,,all_evals_results.csv
RASMD,stratified (own),small,mixed_swir_at,robust_best,test,aria_medium,3,0.7609,0.0007,0.4851,0.0006,0.8132,0.7238,,all_evals_results.csv
RASMD,stratified (own),small,mixed_swir_at,robust_best,test,combined_medium,3,0.7122,0.0009,0.4320,0.0009,0.7875,0.6967,,all_evals_results.csv
RASMD,stratified (own),small,mixed_swir_at,robust_best,test,snua_go_strong,3,0.6652,0.0016,0.3840,0.0005,0.7439,0.6621,,all_evals_results.csv
RASMD,stratified (own),small,mixed_swir_at,robust_best,test,aria_strong,3,0.7456,0.0037,0.4703,0.0010,0.8008,0.7169,,all_evals_results.csv
RASMD,stratified (own),small,mixed_swir_at,robust_best,test,combined_strong,3,0.6317,0.0105,0.3649,0.0030,0.7157,0.6307,,all_evals_results.csv
RASMD,stratified (own),small,mixed_swir_at,robust_best,test,random_fpn_medium,3,0.7637,0.0005,0.4889,0.0004,0.8161,0.7236,,all_evals_results.csv
RASMD,stratified (own),small,mixed_swir_at,robust_best,test,random_radiometric_medium,3,0.7629,0.0016,0.4877,0.0003,0.8139,0.7250,,all_evals_results.csv
